Teamnaam,Punten
PQV Westland - Data Giants HS 3,58
Zovoc HS 5,55
SKC HS 9,52
SKC HS 8,44
Punch HS 13,44
Punch HS 11,41
Inter Rijswijk HS 9,34
Monza HS 6,8
DEO HS 5,4
